consumer_discretionary_avg,consumer_staples_avg,energy_avg,financials_avg,health_care_avg,industrials_avg,information_technology_avg,materials_avg,real_estate_avg,telecommunication_services_avg,utilities_avg
116.40542,81.38065,68.6384,77.85252,127.538895,92.37642,96.162445,100.53537,101.26048,45.76459,57.733147
117.25989,82.06135,69.152405,78.15967,127.68153,92.71673,96.872025,100.78512,101.69309,45.912846,57.68863
118.196236,82.58025,68.91601,78.82714,127.966995,92.56372,97.76281,99.5624,102.28403,46.22669,57.680126
118.506424,83.497826,68.84262,79.51385,127.20755,91.81937,98.03045,97.78186,102.32656,45.475327,56.858643
117.99134,83.261055,68.91489,78.97733,126.951454,91.845505,97.80478,98.644135,101.99369,45.848625,56.958836
117.13912,82.90922,68.59616,79.099525,127.18057,91.743805,97.74351,98.88294,101.80191,46.276768,57.305836
117.46591,83.76293,67.8512,80.09786,126.71643,91.79605,98.79339,97.27539,102.94827,46.35003,57.353527
117.835625,84.4133,67.52994,80.57993,126.529396,91.653564,99.4147,96.051155,103.20387,46.793648,57.543797
118.056854,84.961174,67.255615,80.427986,126.25495,91.55467,99.37692,95.56071,103.07261,47.04652,57.628494
117.87256,85.11086,67.26857,80.16556,125.900276,91.54355,99.45762,95.91188,103.20895,47.43282,57.80477
117.74006,84.73991,67.46141,80.2656,126.246506,91.67621,99.41513,96.408424,103.46655,47.346855,57.968468
117.83672,84.77509,66.73071,80.12001,126.301445,91.69751,99.38005,95.81734,103.2891,47.70849,58.22639
116.84158,84.40587,66.86711,79.59583,125.255066,90.847855,99.09725,96.39554,102.76541,47.673927,57.579315
116.45912,83.870285,67.240204,79.52943,125.21912,90.834,98.9323,96.64481,102.53914,47.306286,57.14629
116.17707,83.89921,67.39708,80.19455,125.27952,90.650894,98.742874,96.31374,102.62181,46.788677,57.105717
116.96092,85.242744,66.535614,80.66079,125.9116,91.71182,99.55331,95.407104,103.77212,47.801247,58.127155
117.479195,85.5013,66.37063,80.81592,126.73535,92.047165,99.91754,95.7299,104.54314,48.270264,58.887367
117.40815,84.64148,67.23507,80.60999,126.50052,91.78859,100.057755,96.92532,105.13032,47.841785,58.304626
117.805305,84.37704,67.73262,80.44875,126.71193,91.571594,100.15679,97.29796,105.07039,48.006626,57.89664
118.796234,84.74253,68.32121,80.712135,127.079796,91.31152,99.799416,96.86735,104.61041,46.65069,57.12028
